Invoice ID,Branch,City,Customer type,Gender,Product type,Unit price,Quantity,Tax (5%),Total price,Date,Time,Payment type,COGS,gross margin (%),gross income,Rating
656-95-9349,A,Yangon,Member,Female,Health and beauty,$68.9,7,$24.1,$506.6,21-Jan-2019,11:03,Credit card,$482.51,4.761904762,24.1255,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,$72.6,6,$21.8,$457.4,22-Jan-2019,10:39,Credit card,$435.66,4.761904762,21.783,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,$54.7,3,$8.2,$172.2,23-Jan-2019,18:00,Credit card,$164.01,4.761904762,8.2005,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,$40.3,2,$4.0,$84.6,24-Jan-2019,15:30,Ewallet,$80.60,4.761904762,4.03,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,$86.0,5,$21.5,$451.7,25-Jan-2019,11:24,Ewallet,$430.20,4.761904762,21.51,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,$88.0,3,$13.2,$277.1,26-Jan-2019,10:40,Ewallet,$263.94,4.761904762,13.197,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,$33.2,2,$3.3,$69.7,27-Jan-2019,12:20,Credit card,$66.40,4.761904762,3.32,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,$34.6,5,$8.6,$181.4,28-Jan-2019,11:15,Ewallet,$172.80,4.761904762,8.64,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,$88.6,3,$13.3,$279.2,29-Jan-2019,17:36,Ewallet,$265.89,4.761904762,13.2945,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,$52.6,8,$21.0,$441.8,30-Jan-2019,19:20,Credit card,$420.72,4.761904762,21.036,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,$33.5,1,$1.7,$35.2,31-Jan-2019,15:31,Cash,$33.52,4.761904762,1.676,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,$87.7,2,$8.8,$184.1,01-Feb-2019,12:17,Credit card,$175.34,4.761904762,8.767,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,$88.4,5,$22.1,$463.9,02-Feb-2019,19:48,Cash,$441.80,4.761904762,22.09,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,$24.9,9,$11.2,$235.2,03-Feb-2019,15:36,Cash,$224.01,4.761904762,11.2005,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,$94.1,5,$23.5,$494.2,04-Feb-2019,19:39,Credit card,$470.65,4.761904762,23.5325,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,$78.1,9,$35.1,$737.8,05-Feb-2019,12:43,Cash,$702.63,4.761904762,35.1315,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,$83.8,8,$33.5,$703.8,06-Feb-2019,14:49,Cash,$670.24,4.761904762,33.512,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,$96.6,2,$9.7,$202.8,07-Feb-2019,10:12,Credit card,$193.16,4.761904762,9.658,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,$99.4,4,$19.9,$417.6,08-Feb-2019,10:42,Ewallet,$397.68,4.761904762,19.884,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,$68.1,1,$3.4,$71.5,09-Feb-2019,12:28,Ewallet,$68.12,4.761904762,3.406,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,$62.6,5,$15.7,$328.8,10-Feb-2019,19:15,Ewallet,$313.10,4.761904762,15.655,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,$60.9,9,$27.4,$575.3,11-Feb-2019,17:17,Ewallet,$547.92,4.761904762,27.396,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,$54.9,8,$22.0,$461.3,12-Feb-2019,13:24,Ewallet,$439.36,4.761904762,21.968,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,$30.1,8,$12.0,$253.0,13-Feb-2019,13:01,Cash,$240.96,4.761904762,12.048,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,$86.7,1,$4.3,$91.1,14-Feb-2019,18:45,Ewallet,$86.72,4.761904762,4.336,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,$56.1,2,$5.6,$117.8,15-Feb-2019,10:11,Cash,$112.22,4.761904762,5.611,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,$69.1,6,$20.7,$435.5,16-Feb-2019,13:03,Cash,$414.72,4.761904762,20.736,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,$98.7,8,$39.5,$829.1,17-Feb-2019,20:39,Cash,$789.60,4.761904762,39.48,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,$15.4,2,$1.5,$32.3,18-Feb-2019,19:47,Cash,$30.74,4.761904762,1.537,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,$94.0,4,$18.8,$394.6,19-Feb-2019,18:00,Cash,$375.84,4.761904762,18.792,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,$56.7,9,$25.5,$535.7,20-Feb-2019,17:24,Credit card,$510.21,4.761904762,25.5105,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,$20.0,9,$9.0,$189.1,21-Feb-2019,15:47,Ewallet,$180.09,4.761904762,9.0045,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,$18.9,6,$5.7,$119.3,22-Feb-2019,12:45,Credit card,$113.58,4.761904762,5.679,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,$82.6,10,$41.3,$867.6,23-Feb-2019,17:08,Ewallet,$826.30,4.761904762,41.315,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,$91.4,7,$32.0,$671.8,24-Feb-2019,10:19,Cash,$639.80,4.761904762,31.99,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,$44.6,5,$11.1,$234.1,25-Feb-2019,15:10,Cash,$222.95,4.761904762,11.1475,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,$17.9,4,$3.6,$75.1,26-Feb-2019,14:42,Ewallet,$71.48,4.761904762,3.574,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,$15.4,1,$0.8,$16.2,27-Feb-2019,15:46,Credit card,$15.43,4.761904762,0.7715,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,$16.2,2,$1.6,$33.9,28-Feb-2019,11:49,Ewallet,$32.32,4.761904762,1.616,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,$86.0,8,$34.4,$722.2,01-Mar-2019,19:01,Cash,$687.84,4.761904762,34.392,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,$44.3,2,$4.4,$93.1,02-Mar-2019,11:26,Cash,$88.68,4.761904762,4.434,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,$89.6,8,$35.8,$752.6,03-Mar-2019,11:28,Ewallet,$716.80,4.761904762,35.84,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,$72.4,10,$36.2,$759.7,04-Mar-2019,15:55,Cash,$723.50,4.761904762,36.175,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,$30.6,6,$9.2,$192.8,05-Mar-2019,20:36,Cash,$183.66,4.761904762,9.183,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,$24.7,3,$3.7,$77.9,06-Mar-2019,17:47,Credit card,$74.22,4.761904762,3.711,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,$55.7,6,$16.7,$351.1,07-Mar-2019,10:55,Ewallet,$334.38,4.761904762,16.719,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,$55.1,9,$24.8,$520.4,08-Mar-2019,13:40,Ewallet,$495.63,4.761904762,24.7815,10
199-75-8169,A,Yangon,Member,Male,Sports and travel,$15.8,10,$7.9,$166.0,09-Mar-2019,12:27,Credit card,$158.10,4.761904762,7.905,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,$75.7,4,$15.1,$318.1,10-Mar-2019,14:35,Cash,$302.96,4.761904762,15.148,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,$15.9,10,$7.9,$166.6,11-Mar-2019,16:40,Cash,$158.70,4.761904762,7.935,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,$33.5,2,$3.3,$70.3,12-Mar-2019,15:43,Ewallet,$66.94,4.761904762,3.347,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,$97.6,6,$29.3,$614.9,13-Mar-2019,15:01,Ewallet,$585.66,4.761904762,29.283,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,$78.8,10,$39.4,$827.1,14-Mar-2019,10:04,Cash,$787.70,4.761904762,39.385,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,$18.3,1,$0.9,$19.2,15-Mar-2019,18:50,Cash,$18.33,4.761904762,0.9165,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,$89.5,10,$44.7,$939.5,16-Mar-2019,12:46,Credit card,$894.80,4.761904762,44.74,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,$62.1,10,$31.1,$652.3,17-Mar-2019,16:19,Cash,$621.20,4.761904762,31.06,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,$48.5,3,$7.3,$152.8,18-Mar-2019,18:17,Ewallet,$145.56,4.761904762,7.278,4
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,$75.9,6,$22.8,$478.2,19-Mar-2019,18:21,Cash,$455.46,4.761904762,22.773,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,$74.7,9,$33.6,$705.6,20-Mar-2019,10:55,Ewallet,$672.03,4.761904762,33.6015,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,$41.7,10,$20.8,$437.3,21-Mar-2019,17:04,Credit card,$416.50,4.761904762,20.825,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,$49.0,9,$22.1,$463.4,22-Mar-2019,14:20,Credit card,$441.36,4.761904762,22.068,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,$20.0,9,$9.0,$189.1,23-Mar-2019,15:48,Credit card,$180.09,4.761904762,9.0045,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,$78.3,10,$39.2,$822.3,24-Mar-2019,16:24,Ewallet,$783.10,4.761904762,39.155,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,$20.4,5,$5.1,$107.0,25-Mar-2019,18:56,Cash,$101.90,4.761904762,5.095,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,$99.2,6,$29.8,$624.9,26-Mar-2019,14:42,Credit card,$595.14,4.761904762,29.757,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,$96.7,3,$14.5,$304.5,27-Mar-2019,19:56,Ewallet,$290.04,4.761904762,14.502,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,$19.3,8,$7.7,$161.7,28-Mar-2019,18:37,Ewallet,$154.00,4.761904762,7.7,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,$80.4,4,$16.1,$337.5,29-Mar-2019,18:45,Credit card,$321.44,4.761904762,16.072,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,$48.9,5,$12.2,$256.8,30-Mar-2019,10:17,Cash,$244.55,4.761904762,12.2275,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,$83.1,7,$29.1,$610.5,31-Mar-2019,14:31,Ewallet,$581.42,4.761904762,29.071,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,$76.5,5,$19.1,$401.7,01-Apr-2019,10:23,Cash,$382.60,4.761904762,19.13,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,$49.4,7,$17.3,$362.9,02-Apr-2019,20:35,Credit card,$345.66,4.761904762,17.283,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,$42.5,1,$2.1,$44.6,03-Apr-2019,16:57,Cash,$42.47,4.761904762,2.1235,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,$77.0,6,$23.1,$485.0,04-Apr-2019,17:55,Cash,$461.94,4.761904762,23.097,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,$47.4,4,$9.5,$199.0,05-Apr-2019,10:25,Cash,$189.52,4.761904762,9.476,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,$44.9,10,$22.4,$471.0,06-Apr-2019,19:54,Ewallet,$448.60,4.761904762,22.43,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,$22.0,7,$7.7,$161.6,07-Apr-2019,16:42,Ewallet,$153.86,4.761904762,7.693,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,$64.4,9,$29.0,$608.2,08-Apr-2019,12:09,Credit card,$579.24,4.761904762,28.962,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,$89.8,1,$4.5,$94.2,09-Apr-2019,20:05,Credit card,$89.75,4.761904762,4.4875,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,$97.2,1,$4.9,$102.0,10-Apr-2019,20:38,Ewallet,$97.16,4.761904762,4.858,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,$87.9,10,$43.9,$922.6,11-Apr-2019,10:25,Ewallet,$878.70,4.761904762,43.935,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,$12.5,6,$3.7,$78.4,12-Apr-2019,13:11,Cash,$74.70,4.761904762,3.735,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,$52.8,3,$7.9,$166.2,13-Apr-2019,10:16,Ewallet,$158.25,4.761904762,7.9125,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,$82.7,6,$24.8,$521.0,14-Apr-2019,18:14,Cash,$496.20,4.761904762,24.81,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,$48.7,1,$2.4,$51.1,15-Apr-2019,19:20,Cash,$48.71,4.761904762,2.4355,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,$78.6,9,$35.3,$742.3,16-Apr-2019,13:22,Cash,$706.95,4.761904762,35.3475,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,$23.1,9,$10.4,$218.0,17-Apr-2019,11:27,Cash,$207.63,4.761904762,10.3815,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,$58.3,6,$17.5,$367.0,18-Apr-2019,16:44,Cash,$349.56,4.761904762,17.478,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,$30.4,7,$10.6,$223.1,19-Apr-2019,18:19,Cash,$212.45,4.761904762,10.6225,8
704-48-3927,A,Yangon,Member,Male,Electronic accessories,$88.7,10,$44.3,$931.0,20-Apr-2019,14:50,Ewallet,$886.70,4.761904762,44.335,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,$27.4,6,$8.2,$172.5,21-Apr-2019,20:54,Credit card,$164.28,4.761904762,8.214,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel,$62.1,6,$18.6,$391.4,22-Apr-2019,20:19,Cash,$372.78,4.761904762,18.639,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,$34.0,9,$15.3,$321.1,23-Apr-2019,10:43,Cash,$305.82,4.761904762,15.291,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,$82.0,10,$41.0,$860.7,24-Apr-2019,14:30,Cash,$819.70,4.761904762,40.985,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,$16.5,2,$1.6,$34.6,25-Apr-2019,11:32,Ewallet,$32.98,4.761904762,1.649,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,$98.2,3,$14.7,$309.4,26-Apr-2019,10:41,Credit card,$294.63,4.761904762,14.7315,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,$72.8,7,$25.5,$535.4,27-Apr-2019,12:44,Cash,$509.88,4.761904762,25.494,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,$58.1,9,$26.1,$548.8,28-Apr-2019,20:07,Ewallet,$522.63,4.761904762,26.1315,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,$80.8,9,$36.4,$763.5,29-Apr-2019,20:31,Credit card,$727.11,4.761904762,36.3555,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,$27.0,3,$4.1,$85.1,30-Apr-2019,13:01,Credit card,$81.06,4.761904762,4.053,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,$21.9,5,$5.5,$115.2,01-May-2019,12:29,Ewallet,$109.70,4.761904762,5.485,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,$51.4,1,$2.6,$53.9,02-May-2019,15:26,Ewallet,$51.36,4.761904762,2.568,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,$11.0,10,$5.5,$115.1,03-May-2019,20:48,Ewallet,$109.60,4.761904762,5.48,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,$53.4,2,$5.3,$112.2,04-May-2019,20:38,Ewallet,$106.88,4.761904762,5.344,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,$99.6,8,$39.8,$836.3,05-May-2019,17:03,Credit card,$796.48,4.761904762,39.824,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,$57.1,7,$20.0,$419.8,06-May-2019,12:02,Credit card,$399.84,4.761904762,19.992,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,$100.0,9,$45.0,$944.6,07-May-2019,17:26,Credit card,$899.64,4.761904762,44.982,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,$63.9,8,$25.6,$536.8,08-May-2019,19:52,Credit card,$511.28,4.761904762,25.564,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,$56.5,8,$22.6,$474.3,09-May-2019,14:57,Ewallet,$451.76,4.761904762,22.588,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,$93.7,7,$32.8,$688.6,10-May-2019,18:44,Credit card,$655.83,4.761904762,32.7915,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,$32.3,5,$8.1,$169.3,11-May-2019,13:26,Cash,$161.25,4.761904762,8.0625,9
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,$31.7,9,$14.3,$299.8,12-May-2019,16:17,Credit card,$285.57,4.761904762,14.2785,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,$68.5,8,$27.4,$575.7,13-May-2019,15:57,Ewallet,$548.32,4.761904762,27.416,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,$90.3,9,$40.6,$853.1,14-May-2019,11:15,Ewallet,$812.52,4.761904762,40.626,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,$39.6,7,$13.9,$291.2,15-May-2019,13:18,Cash,$277.34,4.761904762,13.867,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,$92.1,6,$27.6,$580.4,16-May-2019,20:34,Cash,$552.78,4.761904762,27.639,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,$34.8,4,$7.0,$146.3,17-May-2019,18:36,Cash,$139.36,4.761904762,6.968,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,$87.5,6,$26.2,$550.9,18-May-2019,14:40,Credit card,$524.70,4.761904762,26.235,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,$81.3,6,$24.4,$512.2,19-May-2019,16:43,Ewallet,$487.80,4.761904762,24.39,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,$90.2,3,$13.5,$284.2,20-May-2019,19:39,Cash,$270.66,4.761904762,13.533,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,$26.3,5,$6.6,$138.1,21-May-2019,20:59,Credit card,$131.55,4.761904762,6.5775,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,$34.4,6,$10.3,$216.8,22-May-2019,15:39,Cash,$206.52,4.761904762,10.326,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,$51.9,10,$26.0,$545.1,23-May-2019,12:21,Cash,$519.10,4.761904762,25.955,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,$72.5,8,$29.0,$609.0,24-May-2019,19:25,Ewallet,$580.00,4.761904762,29,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,$89.8,10,$44.9,$942.9,25-May-2019,13:00,Credit card,$898.00,4.761904762,44.9,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,$90.5,10,$45.3,$950.3,26-May-2019,13:48,Cash,$905.00,4.761904762,45.25,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,$68.6,10,$34.3,$720.3,27-May-2019,19:57,Cash,$686.00,4.761904762,34.3,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,$30.4,1,$1.5,$31.9,28-May-2019,10:36,Credit card,$30.41,4.761904762,1.5205,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,$78.0,6,$23.4,$491.1,29-May-2019,16:37,Ewallet,$467.70,4.761904762,23.385,8
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,$46.3,6,$13.9,$291.4,30-May-2019,17:11,Credit card,$277.56,4.761904762,13.878,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,$30.1,10,$15.1,$316.5,31-May-2019,12:28,Ewallet,$301.40,4.761904762,15.07,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,$66.1,4,$13.2,$277.8,01-Jun-2019,12:46,Credit card,$264.56,4.761904762,13.228,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,$71.9,8,$28.7,$603.6,02-Jun-2019,15:07,Credit card,$574.88,4.761904762,28.744,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,$32.5,8,$13.0,$272.7,03-Jun-2019,13:48,Credit card,$259.68,4.761904762,12.984,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,$91.5,4,$18.3,$384.5,04-Jun-2019,19:20,Credit card,$366.16,4.761904762,18.308,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,$34.6,7,$12.1,$254.0,05-Jun-2019,16:07,Credit card,$241.92,4.761904762,12.096,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,$83.2,9,$37.5,$786.6,06-Jun-2019,11:56,Credit card,$749.16,4.761904762,37.458,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,$16.5,6,$4.9,$103.8,07-Jun-2019,18:23,Ewallet,$98.88,4.761904762,4.944,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,$81.0,8,$32.4,$680.1,08-Jun-2019,13:05,Cash,$647.76,4.761904762,32.388,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,$92.3,5,$23.1,$484.5,09-Jun-2019,15:55,Credit card,$461.45,4.761904762,23.0725,9
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,$72.2,1,$3.6,$75.8,10-Jun-2019,19:40,Cash,$72.17,4.761904762,3.6085,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,$50.3,5,$12.6,$264.0,11-Jun-2019,13:58,Ewallet,$251.40,4.761904762,12.57,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,$97.2,9,$43.7,$918.7,12-Jun-2019,14:43,Ewallet,$874.98,4.761904762,43.749,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,$93.4,6,$28.0,$588.4,13-Jun-2019,19:18,Ewallet,$560.34,4.761904762,28.017,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,$43.2,8,$17.3,$362.7,14-Jun-2019,19:39,Credit card,$345.44,4.761904762,17.272,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,$63.7,1,$3.2,$66.9,15-Jun-2019,16:21,Cash,$63.69,4.761904762,3.1845,6
101-17-6199,A,Yangon,Normal,Male,Food and beverages,$45.8,7,$16.0,$336.6,16-Jun-2019,19:44,Credit card,$320.53,4.761904762,16.0265,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,$76.4,2,$7.6,$160.4,17-Jun-2019,19:42,Ewallet,$152.80,4.761904762,7.64,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages,$39.9,10,$20.0,$419.0,18-Jun-2019,15:24,Credit card,$399.00,4.761904762,19.95,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty,$42.6,8,$17.0,$357.6,19-Jun-2019,14:12,Ewallet,$340.56,4.761904762,17.028,5.6
